"gene","bias","phenotype"
"LOC724874","mat","egg"
"LOC724795","mat","egg"
"LOC414017","mat","egg"
"LOC724721","mat","egg"
"LOC113219089","mat","egg"
"LOC102653666","mat","egg"
"LOC409259","mat","egg"
"LOC552166","mat","egg"
"LOC107966041","mat","egg"
"LOC413374","mat","egg"
"LOC410696","mat","egg"
"LOC413575","mat","egg"
"LOC724736","mat","egg"
"LOC100576249","mat","egg"
"LOC408694","mat","egg"
"LOC410867","mat","egg"
"LOC100578144","mat","egg"
"LOC410829","mat","egg"
"LOC100577903","mat","egg"
"LOC411365","mat","egg"
"LOC408754","mat","egg"
"LOC100576853","mat","egg"
"LOC102653852","mat","egg"
"LOC410943","mat","egg"
"LOC550667","mat","egg"
"LOC113218617","mat","egg"
"LOC100578320","mat","egg"
"LOC724215","mat","egg"
"LOC727092","mat","egg"
"LOC411053","mat","egg"
"LOC408809","mat","egg"
"LOC552841","mat","egg"
"LOC100577397","mat","egg"
"LOC725548","mat","egg"
"LOC107964513","mat","egg"
"LOC552103","mat","egg"
"LOC100577376","mat","egg"
"LOC725364","mat","egg"
"LOC113218862","mat","egg"
"LOC724783","mat","egg"
"LOC551099","mat","egg"
"LOC107964582","mat","egg"
"LOC550677","mat","egg"
"LOC409317","mat","egg"
"LOC102655847","mat","egg"
"LOC102653613","mat","egg"
"LOC412888","mat","egg"
"LOC100577214","mat","egg"
"LOC726399","mat","egg"
"LOC100578177","mat","egg"
"LOC726358","mat","egg"
"LOC408934","mat","egg"
"LOC725366","mat","egg"
"LOC409933","mat","egg"
"LOC411219","mat","egg"
"LOC412808","mat","egg"
"LOC551224","mat","egg"
"LOC100576293","mat","egg"
"LOC411213","mat","egg"
"LOC408906","mat","egg"
"LOC408905","mat","egg"
"LOC724706","mat","egg"
"LOC408958","mat","egg"
"LOC413652","mat","egg"
"LOC726625","mat","egg"
"LOC551936","mat","egg"
"LOC102656685","mat","egg"
"LOC411358","mat","egg"
"LOC100576640","mat","egg"
"LOC412763","mat","egg"
"LOC411338","mat","egg"
"LOC724640","mat","egg"
"LOC410236","mat","egg"
"LOC726469","mat","egg"
"LOC726017","mat","egg"
"LOC724408","mat","egg"
"LOC102656022","mat","egg"
"LOC410297","mat","egg"
"LOC412832","mat","egg"
"LOC410320","mat","egg"
"LOC410337","mat","egg"
"LOC408359","mat","egg"
"LOC410347","mat","egg"
"LOC410351","mat","egg"
"LOC100578438","mat","egg"
"LOC100578547","mat","egg"
"LOC100578439","mat","egg"
"LOC725244","mat","egg"
"LOC100578575","mat","egg"
"LOC552303","mat","egg"
"LOC409314","mat","egg"
"LOC412018","mat","egg"
"LOC552689","mat","egg"
"LOC725780","mat","egg"
"LOC107965253","mat","egg"
"LOC413086","mat","egg"
"LOC725157","mat","egg"
"LOC410371","mat","egg"
"LOC100577913","mat","egg"
"LOC552742","mat","egg"
"LOC726597","mat","egg"
"LOC100576843","mat","egg"
"LOC408438","mat","egg"
"LOC551250","mat","egg"
"LOC724962","mat","egg"
"LOC551327","mat","egg"
"LOC408470","mat","egg"
"LOC408474","mat","egg"
"LOC408489","mat","egg"
"LOC406147","mat","egg"
"LOC726094","mat","egg"
"LOC406078","mat","egg"
"LOC100577912","mat","egg"
"LOC409680","mat","egg"
"LOC551328","mat","egg"
"LOC413385","mat","egg"
"LOC413386","mat","egg"
"LOC725117","mat","egg"
"LOC413409","mat","egg"
"LOC551871","mat","egg"
"LOC412813","pat","egg"
"LOC102653997","pat","egg"
"LOC551069","pat","egg"
"LOC552251","pat","egg"
"LOC410684","pat","egg"
"LOC410779","pat","egg"
"LOC412263","pat","egg"
"LOC102654085","pat","egg"
"LOC410882","pat","egg"
"LOC406113","pat","egg"
"LOC551970","pat","egg"
"LOC102656605","pat","egg"
"LOC100578040","pat","egg"
"LOC726307","pat","egg"
"LOC410996","pat","egg"
"LOC552475","pat","egg"
"LOC100578444","pat","egg"
"LOC102656464","pat","egg"
"LOC412641","pat","egg"
"LOC552106","pat","egg"
"LOC408852","pat","egg"
"LOC100576637","pat","egg"
"LOC409899","pat","egg"
"LOC551046","pat","egg"
"LOC413698","pat","egg"
"LOC410013","pat","egg"
"LOC100577132","pat","egg"
"LOC413383","pat","egg"
"LOC409144","pat","egg"
"LOC412446","pat","egg"
"LOC100576271","pat","egg"
"LOC726860","pat","egg"
"LOC726850","pat","egg"
"LOC100578664","pat","egg"
"LOC102656567","pat","egg"
"LOC725557","pat","egg"
"LOC102655512","pat","egg"
"LOC411490","pat","egg"
"LOC726200","pat","egg"
"LOC100576157","pat","egg"
"LOC408337","pat","egg"
"LOC406149","pat","egg"
"LOC100577014","pat","egg"
"LOC413109","pat","egg"
"LOC726486","pat","egg"
"LOC100576546","pat","egg"
"LOC102654959","pat","egg"
"LOC100576851","pat","egg"
"LOC408405","pat","egg"
"LOC408428","pat","egg"
"LOC724845","pat","egg"
"LOC411486","pat","egg"
"LOC724293","pat","egg"
"LOC726124","pat","egg"
"LOC408471","pat","egg"
"LOC726670","pat","egg"
"LOC410643","pat","egg"
"LOC113219315","pat","egg"
"LOC408621","Lineage A","egg"
"LOC409383","Lineage A","egg"
"LOC413562","Lineage A","egg"
"LOC551375","Lineage A","egg"
"LOC100576129","Lineage A","egg"
"LOC102653904","Lineage A","egg"
"LOC406152","Lineage A","egg"
"LOC107965378","Lineage A","egg"
"LOC408504","Lineage A","egg"
"LOC551685","Lineage A","egg"
"LOC724189","Lineage A","egg"
"LOC725547","Lineage A","egg"
"LOC725619","Lineage A","egg"
