"PEAKID","peakbias","phenotype"
"broadPeak_66","mat","WL"
"broadPeak_289","mat","WL"
"broadPeak_316","mat","WL"
"broadPeak_1448","mat","WL"
"broadPeak_2005","mat","WL"
"broadPeak_2064","mat","WL"
"broadPeak_2150","mat","WL"
"broadPeak_2178","mat","WL"
"broadPeak_2276","mat","WL"
"broadPeak_2378","mat","WL"
"broadPeak_2946","mat","WL"
"broadPeak_3282","mat","WL"
"broadPeak_3312","mat","WL"
"broadPeak_3402","mat","WL"
"broadPeak_3429","mat","WL"
"broadPeak_3770","mat","WL"
"broadPeak_3917","mat","WL"
"broadPeak_3945","mat","WL"
"broadPeak_4161","mat","WL"
"broadPeak_4168","mat","WL"
"broadPeak_4362","mat","WL"
"broadPeak_5166","mat","WL"
"broadPeak_5837","mat","WL"
"broadPeak_6079","mat","WL"
"broadPeak_6188","mat","WL"
"broadPeak_6571","mat","WL"
"broadPeak_6609","mat","WL"
"broadPeak_6804","mat","WL"
"broadPeak_6843","mat","WL"
"broadPeak_7001","mat","WL"
"broadPeak_7122","mat","WL"
"broadPeak_7214","mat","WL"
"broadPeak_7219","mat","WL"
"broadPeak_7440","mat","WL"
"broadPeak_7838","mat","WL"
"broadPeak_8013","mat","WL"
"broadPeak_8377","mat","WL"
"broadPeak_8381","mat","WL"
"broadPeak_8522","mat","WL"
"broadPeak_8536","mat","WL"
"broadPeak_8799","mat","WL"
"broadPeak_8912","mat","WL"
"broadPeak_8915","mat","WL"
"broadPeak_8924","mat","WL"
"broadPeak_8925","mat","WL"
"broadPeak_8977","mat","WL"
"broadPeak_9147","mat","WL"
"broadPeak_9441","mat","WL"
"broadPeak_9706","mat","WL"
"broadPeak_10243","mat","WL"
"broadPeak_10505","mat","WL"
"broadPeak_10510","mat","WL"
"broadPeak_10647","mat","WL"
"broadPeak_10690","mat","WL"
"broadPeak_12331","mat","WL"
"broadPeak_12358","mat","WL"
"broadPeak_12363","mat","WL"
"broadPeak_12420","mat","WL"
"broadPeak_12459","mat","WL"
"broadPeak_12577","mat","WL"
"broadPeak_12579","mat","WL"
"broadPeak_12585","mat","WL"
"broadPeak_12660","mat","WL"
"broadPeak_12729","mat","WL"
"broadPeak_12749","mat","WL"
"broadPeak_12774","mat","WL"
"broadPeak_12940","mat","WL"
"broadPeak_13103","mat","WL"
