"PEAKID","peakbias","phenotype"
"broadPeak_3282","mat","WL"
"broadPeak_3312","mat","WL"
"broadPeak_6609","mat","WL"
"broadPeak_7219","mat","WL"
"broadPeak_8013","mat","WL"
"broadPeak_8536","mat","WL"
"broadPeak_8799","mat","WL"
"broadPeak_8912","mat","WL"
"broadPeak_8924","mat","WL"
"broadPeak_10647","mat","WL"
"broadPeak_10976","mat","WL"
"broadPeak_13107","mat","WL"
"broadPeak_14529","mat","WL"
"broadPeak_14789","mat","WL"
"broadPeak_14917","mat","WL"
"broadPeak_16231","mat","WL"
"broadPeak_16235","mat","WL"
"broadPeak_19138","mat","WL"
"broadPeak_20065","mat","WL"
"broadPeak_23412","mat","WL"
"broadPeak_24415","mat","WL"
"broadPeak_26836","mat","WL"
"broadPeak_28977","mat","WL"
"broadPeak_29354","mat","WL"
"broadPeak_29800","mat","WL"
"broadPeak_30891","mat","WL"
"broadPeak_31019","mat","WL"
"broadPeak_31140","mat","WL"
"broadPeak_34300","mat","WL"
"broadPeak_35313","mat","WL"
"broadPeak_37173","mat","WL"
"broadPeak_37760","mat","WL"
"broadPeak_37765","mat","WL"
"broadPeak_38490","mat","WL"
"broadPeak_38804","mat","WL"
"broadPeak_39822","mat","WL"
"broadPeak_41163","mat","WL"
"broadPeak_42077","mat","WL"
"broadPeak_42368","mat","WL"
"broadPeak_43576","mat","WL"
"broadPeak_44153","mat","WL"
"broadPeak_2366","mat","QL"
"broadPeak_5307","mat","QL"
"broadPeak_7181","mat","QL"
"broadPeak_8436","mat","QL"
"broadPeak_8737","mat","QL"
"broadPeak_9744","mat","QL"
"broadPeak_13000","mat","QL"
"broadPeak_15298","mat","QL"
"broadPeak_19268","mat","QL"
"broadPeak_21162","mat","QL"
"broadPeak_22544","mat","QL"
"broadPeak_22658","mat","QL"
"broadPeak_26499","mat","QL"
"broadPeak_27866","mat","QL"
"broadPeak_29476","mat","QL"
"broadPeak_32025","mat","QL"
"broadPeak_34451","mat","QL"
"broadPeak_37873","mat","QL"
"broadPeak_38039","mat","QL"
"broadPeak_41588","mat","QL"
"broadPeak_43929","mat","QL"
"narrowPeak_35992","mat","QL"
"narrowPeak_43842","mat","QL"
"broadPeak_52413","mat","QL"
"broadPeak_250","pat","WL"
"broadPeak_441","pat","WL"
"broadPeak_3370","pat","WL"
"broadPeak_5064","pat","WL"
"broadPeak_5286","pat","WL"
"broadPeak_5701","pat","WL"
"broadPeak_8806","pat","WL"
"broadPeak_8816","pat","WL"
"broadPeak_8830","pat","WL"
"broadPeak_8896","pat","WL"
"broadPeak_9432","pat","WL"
"broadPeak_9994","pat","WL"
"broadPeak_10401","pat","WL"
"broadPeak_11154","pat","WL"
"broadPeak_11568","pat","WL"
"broadPeak_12877","pat","WL"
"broadPeak_13338","pat","WL"
"broadPeak_13603","pat","WL"
"broadPeak_13874","pat","WL"
"broadPeak_17197","pat","WL"
"broadPeak_17574","pat","WL"
"broadPeak_17600","pat","WL"
"broadPeak_17651","pat","WL"
"broadPeak_17696","pat","WL"
"broadPeak_17763","pat","WL"
"broadPeak_17958","pat","WL"
"broadPeak_17961","pat","WL"
"broadPeak_19099","pat","WL"
"broadPeak_20421","pat","WL"
"broadPeak_20698","pat","WL"
"broadPeak_21474","pat","WL"
"broadPeak_21588","pat","WL"
"broadPeak_21662","pat","WL"
"broadPeak_21807","pat","WL"
"broadPeak_25022","pat","WL"
"broadPeak_26273","pat","WL"
"broadPeak_28711","pat","WL"
"broadPeak_29534","pat","WL"
"broadPeak_30470","pat","WL"
"broadPeak_30676","pat","WL"
"broadPeak_31541","pat","WL"
"broadPeak_32649","pat","WL"
"broadPeak_34035","pat","WL"
"broadPeak_34702","pat","WL"
"broadPeak_35339","pat","WL"
"broadPeak_35386","pat","WL"
"broadPeak_35387","pat","WL"
"broadPeak_35389","pat","WL"
"broadPeak_37799","pat","WL"
"broadPeak_38142","pat","WL"
"broadPeak_38186","pat","WL"
"broadPeak_38211","pat","WL"
"broadPeak_38618","pat","WL"
"broadPeak_38685","pat","WL"
"broadPeak_38760","pat","WL"
"broadPeak_40488","pat","WL"
"broadPeak_40828","pat","WL"
"broadPeak_41084","pat","WL"
"broadPeak_41998","pat","WL"
"broadPeak_43004","pat","WL"
"broadPeak_43027","pat","WL"
"broadPeak_43239","pat","WL"
"broadPeak_43720","pat","WL"
"broadPeak_43781","pat","WL"
"broadPeak_44059","pat","WL"
"broadPeak_44161","pat","WL"
"broadPeak_44768","pat","WL"
"broadPeak_44839","pat","WL"
"broadPeak_45492","pat","WL"
"broadPeak_671","pat","QL"
"broadPeak_1381","pat","QL"
"broadPeak_1736","pat","QL"
"broadPeak_1784","pat","QL"
"broadPeak_1821","pat","QL"
"broadPeak_1833","pat","QL"
"broadPeak_1853","pat","QL"
"broadPeak_1941","pat","QL"
"broadPeak_2897","pat","QL"
"broadPeak_3313","pat","QL"
"broadPeak_3813","pat","QL"
"broadPeak_4149","pat","QL"
"broadPeak_4794","pat","QL"
