"PEAKID","peakbias","phenotype"
"broadPeak_183","mat","WL"
"broadPeak_299","mat","WL"
"broadPeak_302","mat","WL"
"broadPeak_329","mat","WL"
"broadPeak_383","mat","WL"
"broadPeak_856","mat","WL"
"broadPeak_1834","mat","WL"
"broadPeak_1857","mat","WL"
"broadPeak_2107","mat","WL"
"broadPeak_2221","mat","WL"
"broadPeak_2259","mat","WL"
"broadPeak_2268","mat","WL"
"broadPeak_2431","mat","WL"
"broadPeak_2549","mat","WL"
"broadPeak_3124","mat","WL"
"broadPeak_3341","mat","WL"
"broadPeak_3505","mat","WL"
"broadPeak_3767","mat","WL"
"broadPeak_3781","mat","WL"
"broadPeak_3794","mat","WL"
"broadPeak_3837","mat","WL"
"broadPeak_4083","mat","WL"
"broadPeak_4165","mat","WL"
"broadPeak_4577","mat","WL"
"broadPeak_4595","mat","WL"
"broadPeak_4598","mat","WL"
"broadPeak_4746","mat","WL"
"broadPeak_4758","mat","WL"
"broadPeak_5012","mat","WL"
"broadPeak_5650","mat","WL"
"broadPeak_5760","mat","WL"
"broadPeak_6049","mat","WL"
"broadPeak_6535","mat","WL"
"broadPeak_6699","mat","WL"
"broadPeak_6932","mat","WL"
"broadPeak_6945","mat","WL"
"broadPeak_7305","mat","WL"
"broadPeak_7316","mat","WL"
"broadPeak_7718","mat","WL"
"broadPeak_7745","mat","WL"
"broadPeak_7904","mat","WL"
"broadPeak_7975","mat","WL"
"broadPeak_7976","mat","WL"
"broadPeak_7980","mat","WL"
"broadPeak_8122","mat","WL"
"broadPeak_8182","mat","WL"
"broadPeak_8668","mat","WL"
"broadPeak_8861","mat","WL"
"broadPeak_8941","mat","WL"
"broadPeak_9237","mat","WL"
"broadPeak_9252","mat","WL"
"broadPeak_9277","mat","WL"
"broadPeak_9280","mat","WL"
"broadPeak_9285","mat","WL"
"broadPeak_9334","mat","WL"
"broadPeak_9455","mat","WL"
"broadPeak_9486","mat","WL"
"broadPeak_9955","mat","WL"
"broadPeak_9963","mat","WL"
"broadPeak_9966","mat","WL"
"broadPeak_10024","mat","WL"
"broadPeak_10095","mat","WL"
"broadPeak_10220","mat","WL"
"broadPeak_10376","mat","WL"
"broadPeak_10863","mat","WL"
"broadPeak_11000","mat","WL"
"broadPeak_11335","mat","WL"
"broadPeak_11339","mat","WL"
"broadPeak_11351","mat","WL"
"broadPeak_11353","mat","WL"
"broadPeak_11492","mat","WL"
"broadPeak_11493","mat","WL"
"broadPeak_11494","mat","WL"
"broadPeak_11495","mat","WL"
"broadPeak_11500","mat","WL"
"broadPeak_11563","mat","WL"
"broadPeak_11835","mat","WL"
"broadPeak_11994","mat","WL"
"broadPeak_12007","mat","WL"
"broadPeak_12233","mat","WL"
"broadPeak_12241","mat","WL"
"broadPeak_12277","mat","WL"
"broadPeak_12307","mat","WL"
"broadPeak_12311","mat","WL"
"broadPeak_13078","mat","WL"
"broadPeak_13165","mat","WL"
"broadPeak_13434","mat","WL"
"broadPeak_13523","mat","WL"
"broadPeak_13817","mat","WL"
"broadPeak_13821","mat","WL"
"broadPeak_13822","mat","WL"
"broadPeak_13826","mat","WL"
"broadPeak_13931","mat","WL"
"broadPeak_13973","mat","WL"
"broadPeak_13992","mat","WL"
"broadPeak_14016","mat","WL"
"broadPeak_14089","mat","WL"
"broadPeak_14251","mat","WL"
"broadPeak_14453","mat","WL"
"broadPeak_14463","mat","WL"
"broadPeak_14475","mat","WL"
"broadPeak_14646","mat","WL"
"broadPeak_14647","mat","WL"
"broadPeak_14725","mat","WL"
"broadPeak_14770","mat","WL"
"broadPeak_14778","mat","WL"
"broadPeak_14801","mat","WL"
"broadPeak_14963","mat","WL"
"broadPeak_15084","mat","WL"
"broadPeak_15128","mat","WL"
"broadPeak_15618","mat","WL"
"broadPeak_15865","mat","WL"
"broadPeak_16335","mat","WL"
"broadPeak_16338","mat","WL"
"broadPeak_16398","mat","WL"
"broadPeak_16411","mat","WL"
"broadPeak_16492","mat","WL"
"broadPeak_16517","mat","WL"
"broadPeak_16519","mat","WL"
"broadPeak_16520","mat","WL"
"broadPeak_16521","mat","WL"
"broadPeak_16523","mat","WL"
"broadPeak_16670","mat","WL"
"broadPeak_16674","mat","WL"
"broadPeak_16683","mat","WL"
"broadPeak_17152","mat","WL"
"broadPeak_17180","mat","WL"
"broadPeak_17209","mat","WL"
"broadPeak_17218","mat","WL"
"broadPeak_17815","mat","WL"
"broadPeak_18093","mat","WL"
"broadPeak_18101","mat","WL"
"broadPeak_18103","mat","WL"
"broadPeak_18495","mat","WL"
"broadPeak_19224","mat","WL"
"broadPeak_19280","mat","WL"
"broadPeak_19501","mat","WL"
"broadPeak_20474","mat","WL"
"broadPeak_20680","mat","WL"
"broadPeak_21576","mat","WL"
"broadPeak_22170","mat","WL"
"broadPeak_22246","mat","WL"
"broadPeak_22247","mat","WL"
"broadPeak_22315","mat","WL"
"broadPeak_22321","mat","WL"
"broadPeak_22338","mat","WL"
"broadPeak_22398","mat","WL"
"broadPeak_22567","mat","WL"
"broadPeak_23395","mat","WL"
"broadPeak_23562","mat","WL"
"broadPeak_23575","mat","WL"
"broadPeak_23603","mat","WL"
"broadPeak_23669","mat","WL"
"broadPeak_23688","mat","WL"
"broadPeak_23770","mat","WL"
"broadPeak_24365","mat","WL"
"broadPeak_24462","mat","WL"
"broadPeak_24849","mat","WL"
"broadPeak_24892","mat","WL"
"broadPeak_24901","mat","WL"
"broadPeak_24905","mat","WL"
"broadPeak_25054","mat","WL"
"broadPeak_25441","mat","WL"
