"PEAKID","peakbias","phenotype"
"broadPeak_1857","mat","WL"
"broadPeak_2107","mat","WL"
"broadPeak_3124","mat","WL"
"broadPeak_3505","mat","WL"
"broadPeak_6945","mat","WL"
"broadPeak_7718","mat","WL"
"broadPeak_7980","mat","WL"
"broadPeak_8856","mat","WL"
"broadPeak_8861","mat","WL"
"broadPeak_8941","mat","WL"
"broadPeak_9252","mat","WL"
"broadPeak_9455","mat","WL"
"broadPeak_9966","mat","WL"
"broadPeak_10220","mat","WL"
"broadPeak_10376","mat","WL"
"broadPeak_11000","mat","WL"
"broadPeak_12311","mat","WL"
"broadPeak_13165","mat","WL"
"broadPeak_14016","mat","WL"
"broadPeak_14647","mat","WL"
"broadPeak_16335","mat","WL"
"broadPeak_16398","mat","WL"
"broadPeak_16492","mat","WL"
"broadPeak_16519","mat","WL"
"broadPeak_16523","mat","WL"
"broadPeak_16670","mat","WL"
"broadPeak_16683","mat","WL"
"broadPeak_18093","mat","WL"
"broadPeak_20474","mat","WL"
"broadPeak_22398","mat","WL"
"broadPeak_22567","mat","WL"
"broadPeak_22580","mat","WL"
"broadPeak_24240","mat","WL"
"broadPeak_25847","mat","WL"
"broadPeak_27134","mat","WL"
"broadPeak_27415","mat","WL"
"broadPeak_27461","mat","WL"
"broadPeak_28503","mat","WL"
"broadPeak_32346","mat","WL"
"broadPeak_32773","mat","WL"
"broadPeak_32836","mat","WL"
"broadPeak_34120","mat","WL"
"broadPeak_34158","mat","WL"
"broadPeak_34518","mat","WL"
"broadPeak_34571","mat","WL"
"broadPeak_35463","mat","WL"
"broadPeak_36517","mat","WL"
"broadPeak_37988","mat","WL"
"broadPeak_38099","mat","WL"
"broadPeak_38558","mat","WL"
"broadPeak_41784","mat","WL"
"broadPeak_42399","mat","WL"
"broadPeak_42597","mat","WL"
"broadPeak_43004","mat","WL"
"broadPeak_46306","mat","WL"
"broadPeak_46572","mat","WL"
"broadPeak_46576","mat","WL"
"broadPeak_46692","mat","WL"
"broadPeak_47134","mat","WL"
"broadPeak_47576","mat","WL"
"broadPeak_48062","mat","WL"
"broadPeak_48219","mat","WL"
"broadPeak_48247","mat","WL"
"broadPeak_5793","mat","QL"
"broadPeak_9239","mat","QL"
"broadPeak_9407","mat","QL"
"broadPeak_9882","mat","QL"
"broadPeak_10565","mat","QL"
"broadPeak_10583","mat","QL"
"broadPeak_10675","mat","QL"
"broadPeak_11702","mat","QL"
"broadPeak_15908","mat","QL"
"broadPeak_16314","mat","QL"
"broadPeak_16848","mat","QL"
"broadPeak_18279","mat","QL"
"broadPeak_20158","mat","QL"
"broadPeak_21249","mat","QL"
"broadPeak_22385","mat","QL"
"broadPeak_22388","mat","QL"
"broadPeak_23782","mat","QL"
"broadPeak_25711","mat","QL"
"broadPeak_26364","mat","QL"
"broadPeak_30674","mat","QL"
"narrowPeak_18544","mat","QL"
"broadPeak_30964","mat","QL"
"narrowPeak_18593","mat","QL"
"broadPeak_33802","mat","QL"
