Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_KW_DOMAIN	KW-0732~Signal	159	31.115459882583167	2.1305936771560602E-25	725283, 102656821, 102654246, 100578144, 113218574, 726094, 102654405, 102656669, 677678, 408405, 410566, 724477, 409173, 406066, 100576529, 410452, 100578703, 100577974, 413560, 100578666, 100576253, 410976, 410975, 100578672, 100577584, 724464, 726886, 552478, 551268, 724735, 724619, 727170, 550735, 413210, 412484, 410581, 410063, 410624, 411317, 727243, 100578046, 726391, 412767, 412764, 100578042, 725622, 724378, 552073, 102653658, 724771, 725988, 726554, 727522, 725621, 113218918, 100576702, 409709, 409827, 100577513, 102656640, 412813, 410515, 100576152, 727593, 107965367, 724760, 726703, 724645, 726424, 100578618, 725969, 100577527, 411176, 677674, 100576279, 100578613, 100578731, 100577522, 102656198, 412825, 406145, 100578345, 726294, 724393, 724312, 412829, 406143, 724308, 100577819, 726848, 551632, 100577537, 100578744, 412791, 100576961, 100578347, 100577387, 102654158, 726286, 102654795, 725353, 102655889, 409889, 408317, 100578193, 408273, 100578072, 406093, 408395, 725114, 726206, 102653748, 726329, 102654839, 552558, 552799, 413532, 552836, 413256, 100578238, 100577028, 100578995, 100577156, 726352, 726990, 725380, 725660, 100578123, 102654146, 727161, 726592, 411358, 406083, 726758, 100192200, 409751, 100192201, 100192202, 406088, 551179, 102654660, 100578368, 113219006, 413705, 100577168, 411888, 408896, 727392, 726185, 409187, 409341, 100576192, 724569, 100576919, 107965285, 726737, 100576758, 100577847, 408807	271	1428	4914	2.0189928369871932	3.1958905157340904E-24	3.1958905157340904E-24	3.1958905157340904E-24
UP_KW_LIGAND	KW-0349~Heme	16	3.131115459882583	1.2888351957067099E-9	410405, 410515, 102653899, 726240, 725159, 408453, 727598, 413908, 408452, 443552, 551179, 552679, 551544, 551632, 102656882, 113219203	66	72	2102	7.077441077441078	1.9332527023685486E-8	1.9332527935600648E-8	1.9332527935600648E-8
UP_KW_MOLECULAR_FUNCTION	KW-0503~Monooxygenase	15	2.935420743639922	3.2255708137964357E-9	408930, 726362, 410405, 102653899, 725159, 408453, 727598, 413908, 408452, 551179, 413590, 552679, 551632, 102656882, 113219203	126	50	3151	7.502380952380952	1.3224839467973482E-7	1.3224840336565387E-7	1.2579726173806099E-7
GOTERM_CC_DIRECT	GO:0016020~membrane	107	20.939334637964773	6.0600171026233055E-9	411657, 726094, 408405, 410566, 724117, 409452, 410452, 100577974, 102655332, 410052, 410976, 100576497, 410975, 411665, 724348, 724226, 726886, 113219370, 724619, 113219372, 412883, 413211, 410581, 411317, 725460, 726792, 412925, 410626, 100578046, 412764, 102653899, 100578042, 725622, 724378, 725225, 725988, 725108, 726798, 107965199, 727007, 100576428, 102656882, 113219203, 726260, 100576152, 727593, 725732, 102653922, 724760, 408453, 413908, 726786, 726424, 725456, 413590, 412540, 551527, 100576157, 411692, 102656198, 102656231, 412825, 100578345, 410405, 724393, 412829, 412827, 724429, 552205, 100576446, 411186, 409646, 100577387, 100577385, 102655521, 409924, 100578352, 409889, 726206, 726322, 724304, 552558, 552679, 551869, 100576458, 413256, 100578238, 100577028, 410140, 413816, 725660, 102655631, 408428, 412203, 102654427, 725026, 107965279, 408381, 727324, 552149, 113219366, 100578498, 411888, 100577440, 100577043, 726185, 410683	226	2115	7247	1.62227034038369	2.666407200591081E-7	2.6664075251542546E-7	2.6664075251542546E-7
INTERPRO	IPR017972:Cyt_P450_CS	13	2.5440313111545985	8.556262046412305E-9	410405, 102653899, 725159, 408453, 727598, 413908, 408452, 725621, 551179, 552679, 551632, 102656882, 113219203	301	42	8818	9.067710805252334	4.338015459626199E-6	4.3380248575310385E-6	4.1925684027420295E-6
GOTERM_MF_DIRECT	GO:0004497~monooxygenase activity	14	2.73972602739726	9.330782175423362E-9	410405, 102653899, 725159, 408453, 727598, 413908, 408452, 725621, 551179, 413590, 552679, 551632, 102656882, 113219203	238	51	6938	8.002306805074971	1.688870150284849E-6	8.709072698373521E-7	8.420374155886001E-7
GOTERM_MF_DIRECT	GO:0005506~iron ion binding	17	3.326810176125244	9.623284749584001E-9	408930, 410405, 102653899, 725159, 408453, 727598, 413908, 724226, 408452, 725621, 551179, 413590, 552679, 551632, 551527, 102656882, 113219203	238	81	6938	6.118165784832452	1.7418130265900444E-6	8.709072698373521E-7	8.420374155886001E-7
INTERPRO	IPR012464:DUF1676	10	1.9569471624266144	1.825834758120114E-8	100577387, 725660, 726094, 552558, 726185, 724393, 725622, 726206, 725988, 102656231	301	22	8818	13.316218665055874	9.256939477841897E-6	4.398303781348952E-6	4.25082613976526E-6
GOTERM_MF_DIRECT	GO:0020037~heme binding	17	3.326810176125244	2.3769461821111463E-8	410405, 410515, 102653899, 726240, 725159, 408453, 727598, 413908, 408452, 443552, 725621, 551179, 552679, 551544, 551632, 102656882, 113219203	238	86	6938	5.762458471760797	4.30226338998807E-6	1.4340908632070584E-6	1.3865519395648355E-6
KEGG_PATHWAY	ame00981:Insect hormone biosynthesis	8	1.5655577299412915	2.9530116843749766E-8	551179, 410405, 406147, 412458, 551632, 408559, 724216, 724721	65	17	2905	21.031674208144796	2.067106069758573E-6	2.0671081790624837E-6	1.8603973611562353E-6
