Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_SEQ_FEATURE	REGION:Disordered	461	55.94660194174757	3.4576040020352607E-18	411536, 411539, 412866, 410446, 409332, 409331, 551957, 100576405, 100578705, 410571, 411306, 412878, 410219, 413968, 412637, 411785, 412511, 408354, 409322, 550732, 100578957, 551825, 410343, 100576896, 100576411, 113218567, 551828, 410348, 413616, 410468, 727087, 411435, 102654626, 409554, 409795, 724810, 409673, 408462, 409672, 724924, 100577517, 411201, 411321, 410470, 411207, 409305, 412419, 100576671, 410116, 102654975, 408691, 409664, 411452, 413753, 411212, 410486, 411575, 410485, 410480, 102655654, 409018, 412944, 102654448, 725088, 727141, 408284, 408285, 409373, 409251, 411739, 411859, 550663, 100578506, 411982, 411981, 725081, 102654312, 102654555, 100578631, 410414, 725193, 410655, 411986, 410413, 410775, 411985, 409364, 551980, 551623, 552833, 412960, 411991, 551506, 410780, 552718, 552839, 410547, 411756, 410304, 409599, 411753, 411754, 406084, 410309, 408264, 412607, 551973, 552700, 551731, 552820, 100578529, 113219244, 552709, 100578888, 410316, 410315, 409226, 410675, 410796, 408497, 408374, 551840, 550875, 551602, 406070, 551847, 100578421, 408766, 409611, 100578783, 408764, 408528, 726810, 725964, 410606, 724633, 726928, 725719, 724505, 726924, 724508, 100576129, 408754, 409722, 409843, 100577220, 100576134, 409969, 408759, 408877, 100576251, 724620, 412917, 410739, 412916, 113218605, 410980, 100578314, 410987, 408741, 408862, 100577231, 410867, 409714, 100578680, 725503, 408981, 408740, 724412, 726947, 408618, 410870, 100578213, 100577364, 410510, 409704, 412932, 107964835, 409703, 726702, 724518, 410882, 100578579, 100577367, 100576159, 409655, 409776, 409658, 410804, 410925, 409410, 409893, 410926, 550824, 550706, 408677, 410811, 409888, 409887, 409643, 409647, 408791, 100576291, 107964730, 408551, 724816, 100578238, 410943, 408303, 100578246, 408304, 410823, 408423, 408668, 100578360, 409757, 725821, 726912, 408782, 408656, 409985, 408775, 100578253, 408657, 406118, 408416, 411809, 410718, 408891, 725681, 102656027, 100578144, 408922, 724238, 724358, 724357, 552003, 552006, 413169, 408914, 414015, 100579003, 408911, 724223, 724344, 725679, 725673, 412083, 552358, 408905, 408903, 413176, 100578159, 408902, 724378, 725101, 551384, 726312, 724137, 552467, 551498, 552101, 412091, 100579026, 726541, 725699, 724243, 726422, 724368, 413074, 551123, 408964, 408841, 100578068, 408725, 411059, 552170, 725885, 411060, 724548, 413488, 409804, 409925, 724660, 408715, 408712, 724422, 552044, 551198, 724545, 726842, 411193, 412281, 412288, 408826, 724451, 408822, 408944, 724453, 724338, 552031, 724456, 100192202, 100576908, 725419, 413389, 412059, 409909, 412055, 409908, 409902, 552140, 724442, 100579061, 726620, 552142, 726500, 551174, 725775, 552258, 552378, 552377, 413390, 552255, 725408, 414001, 411019, 412108, 726496, 411018, 726130, 724195, 409053, 725046, 727106, 552764, 409051, 551677, 412114, 413440, 102656661, 412470, 413680, 727574, 411148, 413569, 412357, 412478, 726482, 413568, 724188, 409169, 726003, 409045, 100577909, 100577903, 551424, 551309, 411157, 411277, 413451, 411150, 411392, 726153, 727000, 727486, 409039, 409038, 411158, 412129, 413578, 102655679, 409153, 725068, 409276, 551892, 409271, 113219042, 413466, 100576700, 411047, 411288, 551659, 412130, 412371, 727596, 102656639, 408294, 726148, 551762, 552614, 410087, 413357, 551526, 551647, 102655540, 412262, 411296, 552619, 725482, 410129, 412309, 726331, 413759, 724274, 410003, 725241, 412302, 413755, 552452, 551356, 551596, 410255, 411586, 410133, 413409, 410256, 724383, 725470, 725479, 726325, 551345, 552675, 409084, 413653, 411113, 410144, 413410, 411472, 724172, 724292, 725143, 412688, 411116, 725024, 552550, 552662, 552303, 411122, 411121, 100576864, 100576620, 726101, 411126, 413669, 410159, 724047, 725378, 409065, 726108, 551450, 726103, 725259, 100578818, 551203, 551566, 413433, 100576879, 100576876, 411371, 411373	666	4408	8241	1.2940916188420726	1.7668356450400182E-15	1.7668356450400182E-15	1.753005229031877E-15
UP_SEQ_FEATURE	COMPBIAS:Polar residues	306	37.13592233009709	1.5732012671871258E-17	725681, 411536, 100578144, 411539, 412866, 410446, 408922, 724238, 724358, 724357, 552006, 551957, 100576405, 413169, 100578705, 408914, 414015, 410219, 412878, 413968, 412637, 411785, 724223, 724344, 408354, 409322, 550732, 408905, 100578957, 408903, 100576896, 413176, 100578159, 551828, 410348, 413616, 410468, 411435, 102654626, 409554, 409795, 724810, 409673, 408462, 409672, 724137, 551498, 724924, 552101, 100577517, 411201, 411321, 411207, 409305, 726541, 100576671, 102654975, 411452, 413753, 411575, 410480, 408964, 409018, 100578068, 408841, 408725, 102654448, 725088, 411059, 727141, 408284, 408285, 409251, 552170, 411739, 411859, 725885, 550663, 724548, 411982, 411981, 725081, 100578631, 725193, 724660, 409925, 408712, 410413, 411986, 410775, 411985, 724422, 552044, 724545, 409364, 726842, 411193, 412281, 552833, 551506, 412960, 410780, 408826, 552718, 552839, 410304, 411753, 408822, 411754, 408944, 724453, 406084, 410309, 724338, 408264, 412607, 552031, 724456, 100576908, 551973, 552700, 551731, 725419, 552820, 413389, 412059, 113219244, 552709, 100578888, 412055, 410316, 410675, 410796, 409902, 724442, 408497, 552142, 408374, 725775, 551174, 552258, 551840, 552255, 551602, 725408, 100578421, 411019, 412108, 408764, 411018, 726130, 724195, 725964, 409053, 725046, 410606, 552764, 726928, 725719, 724505, 726924, 409051, 724508, 100576129, 413440, 102656661, 412470, 413680, 408754, 409722, 727574, 100577220, 100576134, 413569, 408759, 100576251, 408877, 413568, 726482, 724620, 724188, 409169, 412917, 726003, 410739, 412916, 409045, 100577903, 551309, 411157, 113218605, 411277, 410980, 411150, 411392, 726153, 410987, 727000, 408741, 408862, 727486, 409039, 410867, 411158, 409714, 413578, 412129, 100578680, 725503, 408981, 408740, 724412, 409271, 726947, 413466, 100576700, 411047, 411288, 551659, 410870, 412371, 100578213, 100577364, 410510, 409704, 409703, 726702, 102656639, 408294, 726148, 724518, 551762, 552614, 413357, 551647, 410882, 100578579, 552619, 410129, 412309, 409655, 409776, 726331, 413759, 410003, 725241, 409658, 410925, 409410, 409893, 410926, 551356, 551596, 550824, 411586, 410133, 408677, 410811, 409888, 409887, 410256, 724383, 725479, 408791, 100576291, 726325, 552675, 409084, 413653, 411113, 413410, 411472, 724172, 408303, 410943, 100578246, 724292, 410823, 408423, 408668, 409757, 552550, 552662, 100576620, 408656, 726101, 408775, 411126, 100578253, 413669, 410159, 408416, 411809, 724047, 409065, 726108, 551450, 410718, 408891, 725259, 100578818, 551566, 551203, 413433, 100576879, 411371	666	2553	8241	1.4831200177851178	8.039058475326213E-15	4.019529237663106E-15	3.988065212319364E-15
UP_SEQ_FEATURE	COMPBIAS:Basic and acidic residues	245	29.73300970873786	2.988550191480143E-10	725681, 102656027, 100578144, 411539, 408922, 724358, 409331, 552003, 100576405, 413169, 100578705, 410219, 412878, 100579003, 413968, 412637, 724344, 408354, 409322, 412083, 552358, 408905, 100578159, 551828, 410348, 413616, 727087, 411435, 725101, 409795, 726312, 409673, 408462, 409672, 552467, 551498, 552101, 412091, 100577517, 100579026, 726541, 100576671, 102654975, 725699, 724243, 409664, 724368, 411452, 413753, 411575, 410480, 408964, 409018, 408725, 102654448, 550663, 724548, 100578506, 413488, 725081, 102654312, 100578631, 724660, 408715, 408712, 410413, 411986, 410775, 411985, 552044, 724545, 409364, 726842, 412281, 552833, 410780, 408826, 410547, 411756, 410304, 409599, 411754, 408944, 724453, 410309, 724338, 412607, 552031, 724456, 551973, 551731, 725419, 552820, 413389, 100578888, 410316, 409226, 410796, 409902, 100579061, 724442, 408497, 726620, 408374, 726500, 725775, 551840, 552377, 552255, 551602, 100578421, 411019, 412108, 409611, 408764, 411018, 726130, 724195, 725964, 409053, 725046, 410606, 552764, 726924, 409051, 724508, 100576129, 102656661, 412470, 413680, 409722, 727574, 100577220, 409969, 412478, 413568, 726482, 724620, 412917, 726003, 410739, 409045, 100577909, 100577903, 551309, 113218605, 411277, 411150, 411392, 410987, 727000, 100577231, 408862, 727486, 409039, 410867, 409714, 413578, 412129, 100578680, 102655679, 725503, 725068, 408981, 408740, 409271, 113219042, 413466, 100576700, 411288, 100578213, 100577364, 410510, 409704, 107964835, 409703, 102656639, 724518, 413357, 551526, 551647, 410882, 100578579, 100576159, 409655, 409776, 726331, 410003, 725241, 409658, 409410, 410926, 551356, 551596, 410255, 411586, 410133, 408677, 409888, 409887, 409643, 409647, 725479, 100576291, 408551, 552675, 409084, 724816, 411113, 410144, 413410, 724172, 410943, 408304, 724292, 408423, 725143, 408668, 100578360, 409757, 725024, 726912, 552303, 411122, 100576620, 408656, 409985, 726101, 408775, 411126, 100578253, 413669, 406118, 411809, 725378, 551450, 410718, 725259, 100578818, 551566, 551203, 413433, 100576879, 100576876, 411373	666	2157	8241	1.405470143300463	1.527149198210509E-7	5.090497159487844E-8	5.050649823601442E-8
UP_SEQ_FEATURE	COMPBIAS:Pro residues	70	8.495145631067961	7.862722960643082E-10	413759, 102654448, 412866, 412302, 725241, 409658, 408284, 725046, 724238, 726928, 100576129, 411982, 414015, 413440, 102656661, 413680, 727574, 412878, 410219, 724660, 408877, 411986, 412917, 726842, 409045, 408551, 410739, 551623, 409084, 408905, 551309, 113218605, 411277, 100578159, 552718, 408303, 724292, 408423, 413578, 408822, 411754, 408944, 408740, 552550, 724456, 100576908, 552101, 726947, 551973, 411122, 100577517, 113219244, 411321, 100577364, 100576671, 410510, 409703, 410159, 408374, 552142, 725259, 725775, 551840, 100578818, 413753, 411575, 411212, 551526, 100578579, 410480	666	402	8241	2.1546546546546548	4.017850491200292E-7	1.0044628582221537E-7	9.966001352615106E-8
UP_KW_DOMAIN	KW-0863~Zinc-finger	47	5.703883495145631	2.4439899165104255E-6	410304, 408423, 100578360, 408822, 102656008, 724690, 727087, 410225, 409153, 406084, 102653759, 410309, 410925, 409673, 552031, 100576908, 726947, 113219042, 552303, 413466, 100578506, 413488, 100577517, 100578529, 100578705, 102656661, 408754, 408656, 100579026, 100577220, 411126, 100576251, 408657, 102654975, 408691, 724545, 724863, 552255, 412281, 726979, 100577903, 100576812, 551825, 410882, 413176, 102654012, 552839	382	296	4914	2.042574642705533	5.865410945493643E-5	5.865575799625021E-5	5.865575799625021E-5
UP_SEQ_FEATURE	COMPBIAS:Basic residues	53	6.432038834951456	6.281745246503203E-5	408964, 409655, 409776, 408764, 100578068, 102654448, 725964, 411739, 552006, 100576405, 100578705, 408914, 102656661, 409722, 727574, 410219, 410413, 411986, 411985, 724422, 409322, 724545, 410739, 409084, 100577903, 412960, 408903, 413451, 100576896, 100578159, 724172, 413578, 412688, 727087, 411754, 408944, 409795, 552031, 724456, 552662, 725419, 551973, 411288, 410316, 408656, 726101, 413669, 725259, 725408, 411452, 551647, 552619, 100576159	666	374	8241	1.753516885869827	0.03159096725035171	0.006419943641926273	0.006369689679954248
INTERPRO	IPR028889:USP_dom	10	1.2135922330097086	8.22349957287399E-5	408964, 724505, 409985, 410344, 408911, 726482, 413357, 412114, 411981, 409332	708	25	8818	4.981920903954802	0.1333993457590309	0.13191113422948092	0.13168383187296834
KEGG_PATHWAY	ame03015:mRNA surveillance pathway	17	2.063106796116505	8.484062599080763E-5	409866, 412627, 410219, 409688, 409804, 102653588, 409704, 412602, 552140, 409065, 409795, 409322, 409672, 551123, 551973, 552303, 414001	253	65	2905	3.0030404378230466	0.008027805065732196	0.008059859469126724	0.008059859469126724
UP_SEQ_FEATURE	DOMAIN:USP	10	1.2135922330097086	8.62723103754122E-5	408964, 724505, 409985, 410344, 408911, 726482, 413357, 412114, 411981, 409332	666	25	8241	4.949549549549549	0.04312934401596713	0.0073475251003059395	0.0072900102267223306
GOTERM_CC_DIRECT	GO:0005634~nucleus	165	20.024271844660195	1.2515830840139863E-4	100578146, 412108, 413439, 102655617, 724238, 724633, 409332, 409331, 725719, 724505, 551677, 100576405, 413169, 410571, 412114, 412470, 102656661, 411306, 727574, 100577220, 100579003, 410219, 412878, 413968, 411785, 100576251, 412511, 412357, 408911, 724620, 725311, 408354, 412917, 726003, 409168, 724863, 409045, 412916, 551825, 411392, 411150, 410184, 100576411, 726153, 726397, 727486, 410468, 413578, 412885, 102656008, 102655679, 409153, 409032, 102654626, 408981, 724810, 409673, 724412, 552467, 413466, 413103, 411288, 412371, 408853, 411207, 100578212, 100576671, 100576155, 409704, 107964835, 409703, 102654975, 408691, 725575, 409540, 551882, 552732, 725607, 413356, 413753, 410882, 411575, 411296, 100577367, 552619, 408842, 410129, 410004, 102654448, 413636, 412302, 410925, 409410, 411859, 409893, 552169, 550824, 411981, 725081, 409887, 409804, 102653588, 410413, 724383, 409802, 725350, 724422, 724545, 726842, 552434, 551980, 411193, 409084, 552833, 551506, 413653, 102655240, 550935, 411756, 410304, 408423, 408668, 408822, 408944, 410027, 724690, 725943, 406084, 410309, 409992, 412607, 552031, 724456, 100576908, 551973, 552303, 552820, 411122, 113219244, 552709, 100578888, 408655, 408656, 409985, 409226, 408775, 410675, 410796, 411126, 411809, 409065, 551450, 726103, 408374, 408891, 724842, 551174, 552255, 726979, 550875, 551203, 100578937, 413433, 102654012, 411373	590	1569	7247	1.2917166283177235	0.03468118296774847	0.03529464296919441	0.03529464296919441
