Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_SEQ_FEATURE	COMPBIAS:Polar residues	139	38.8268156424581	9.527816383369494E-10	408887, 100576640, 100578664, 100578144, 412742, 724592, 413677, 408405, 726654, 552251, 100576249, 414017, 409729, 413562, 408358, 408754, 100577343, 408874, 726486, 410696, 408877, 726887, 409680, 725157, 726124, 413052, 724736, 100577903, 408905, 413698, 408906, 412763, 100578439, 100578201, 726670, 408345, 409314, 410867, 410468, 409714, 412128, 552195, 725189, 726399, 552101, 411047, 412099, 410998, 100578696, 410756, 408337, 100578177, 408852, 100576671, 413503, 100576271, 408976, 412018, 410236, 410918, 726548, 726307, 408970, 408333, 552577, 413994, 410882, 413473, 413474, 409018, 726331, 411219, 410009, 725485, 413998, 410246, 408725, 411213, 410643, 409933, 724795, 725003, 409251, 726335, 724830, 725885, 551510, 724706, 408958, 100576843, 100576963, 726200, 100576293, 408438, 411347, 102654959, 551071, 552166, 412959, 724545, 406133, 725117, 409001, 551069, 727091, 727092, 411113, 113219211, 100576454, 410943, 725780, 410944, 100577397, 725701, 726597, 409598, 413817, 408264, 724215, 724727, 724845, 410398, 409904, 411486, 413385, 413386, 408411, 411248, 726469, 724685, 408894, 410718, 552020, 724962, 410684, 551328, 410320, 100578776, 413153	290	2553	8241	1.5471980226103166	2.5629822608674857E-7	2.562982607126394E-7	2.543926974359655E-7
UP_SEQ_FEATURE	REGION:Disordered	194	54.18994413407822	2.0709645938585983E-6	100576640, 100578144, 408489, 412742, 724592, 552491, 726654, 552251, 414017, 410211, 408358, 410696, 412511, 726887, 408471, 409680, 413052, 408905, 412763, 408906, 726670, 409314, 408345, 410347, 410468, 411557, 552101, 552106, 410351, 412099, 408337, 100578177, 100576671, 413503, 410236, 410918, 726548, 726307, 408333, 551250, 552577, 413994, 411330, 411212, 409018, 409259, 408725, 410643, 409933, 724795, 409251, 725885, 551510, 408958, 100577656, 410779, 725870, 724783, 551071, 552166, 724545, 412959, 409001, 551069, 411991, 113219211, 100576454, 102655512, 725780, 100579057, 409598, 413817, 408264, 724215, 409904, 413385, 413386, 413383, 724685, 551170, 552020, 410684, 410320, 100578776, 408809, 413153, 100578664, 408887, 411814, 726375, 408528, 413677, 408405, 724874, 410297, 100576249, 409729, 413562, 408754, 100577343, 408874, 726486, 408877, 725157, 726124, 724736, 725703, 100577903, 413698, 100578439, 100578201, 410867, 409714, 412128, 552195, 725189, 726399, 411047, 413583, 100578696, 410756, 408732, 410998, 413109, 408852, 410994, 100576271, 408976, 412018, 724640, 408970, 551099, 724886, 409144, 410882, 413113, 413473, 100576157, 413474, 412263, 100577376, 100577132, 726331, 411219, 410009, 725485, 410246, 413998, 725364, 411213, 725003, 725366, 408563, 726335, 724830, 724706, 100576843, 100576963, 413086, 413409, 409643, 726200, 100576293, 411347, 408438, 102654959, 406133, 725117, 100576619, 727091, 727092, 411113, 410943, 408546, 410944, 100577397, 725264, 725263, 725701, 725024, 726597, 724727, 724845, 552303, 410398, 411486, 724161, 408411, 411248, 726469, 408894, 410718, 724962, 551328	290	4408	8241	1.250668064334439	5.569349067412466E-4	2.7854473787398146E-4	2.764737732801229E-4
UP_SEQ_FEATURE	COMPBIAS:Pro residues	33	9.217877094972067	1.0629071758024831E-5	410009, 411213, 413677, 409933, 408405, 724795, 725189, 552251, 724845, 552101, 409729, 409904, 413562, 412099, 410779, 100576671, 408874, 408877, 410918, 102654959, 409680, 551071, 726307, 726124, 412959, 724962, 413052, 408905, 412763, 727092, 411212, 410684, 100576454	290	402	8241	2.3327586206896553	0.002855151777647169	9.171038823687274E-4	9.102852661429376E-4
GOTERM_MF_DIRECT	GO:0005509~calcium ion binding	19	5.307262569832402	1.238527808698433E-5	409018, 408797, 410009, 408528, 410368, 408405, 102655737, 551170, 725244, 409598, 408694, 551069, 551970, 408380, 411330, 410351, 408906, 410013, 411053	245	161	6938	3.341919127899607	0.002807527040126545	0.002811458125745443	0.002811458125745443
UP_SEQ_FEATURE	COMPBIAS:Basic and acidic residues	109	30.446927374301673	1.363723245157959E-5	408887, 100576640, 100578664, 726375, 100578144, 411814, 412742, 724592, 413677, 408405, 414017, 410211, 409729, 413562, 408358, 408874, 726486, 410696, 726887, 408471, 725157, 725703, 100577903, 408905, 408906, 412763, 100578439, 726670, 410867, 409714, 411557, 726399, 552101, 410756, 408337, 100578177, 413109, 408852, 100576671, 100576271, 408976, 726548, 724640, 726307, 408970, 408333, 551099, 552577, 411330, 410882, 413473, 100576157, 100577376, 409018, 726331, 410009, 413998, 408725, 410643, 724795, 726335, 724830, 551510, 724706, 408958, 100576843, 100576963, 413086, 409643, 725870, 100576293, 551071, 552166, 412959, 724545, 725117, 409001, 727091, 727092, 411113, 113219211, 100576454, 410943, 725780, 100577397, 725263, 725024, 726597, 409598, 413817, 724215, 724727, 724845, 552303, 409904, 413385, 413386, 411248, 726469, 724685, 408894, 410718, 552020, 724962, 410684, 410320, 100578776, 413153, 408809	290	2157	8241	1.4360126612632487	0.003661720035661453	9.171038823687274E-4	9.102852661429376E-4
INTERPRO	IPR017996:Royal_jelly/protein_yellow	7	1.9553072625698324	3.748147734376039E-5	726274, 724293, 413380, 406116, 724153, 406149, 406133	300	20	8818	10.287666666666667	0.030522257902078964	0.03099718176328984	0.030659848467195997
GOTERM_CC_DIRECT	GO:0005886~plasma membrane	41	11.452513966480447	2.226936616677418E-4	102656567, 409018, 100576640, 410009, 408489, 410246, 410368, 726755, 552491, 725701, 102655737, 412808, 408264, 725318, 551970, 552101, 551936, 410351, 409904, 410270, 412099, 406113, 408337, 408359, 725870, 411347, 408438, 406078, 724225, 408474, 552577, 551069, 551224, 551046, 552178, 551643, 100577409, 412763, 413575, 410320, 412263	238	691	7247	1.806704447336098	0.028105445161333953	0.02850478869347095	0.02850478869347095
INTERPRO	IPR011042:6-blade_b-propeller_TolB-like	8	2.2346368715083798	2.9041996923133347E-4	726274, 724293, 413380, 408797, 406116, 724153, 406149, 406133	300	39	8818	6.02940170940171	0.21353904165274962	0.1200886572771564	0.11878176741561539
INTERPRO	IPR001881:EGF-like_Ca-bd_dom	7	1.9553072625698324	8.7163554852304E-4	408797, 410009, 408405, 410351, 551170, 409598, 411053	300	34	8818	6.051568627450981	0.513810560255199	0.24028086620951802	0.23766595956394893
GOTERM_CC_DIRECT	GO:0005576~extracellular region	20	5.58659217877095	0.0014751496960578934	726274, 724293, 410337, 409314, 726375, 408874, 406116, 406149, 410696, 724153, 412888, 725366, 551170, 408365, 406133, 406078, 413380, 410035, 408926, 413386	238	273	7247	2.230738449225844	0.17217919447946628	0.09440958054770518	0.09440958054770518
