Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
UP_SEQ_FEATURE	COMPBIAS:Polar residues	173	50.0	7.80434760238717E-10	FBGN0039883, FBGN0036372, FBGN0036494, FBGN0038315, FBGN0260817, FBGN0033661, FBGN0036773, FBGN0035168, FBGN0019990, FBGN0000615, FBGN0264339, FBGN0003964, FBGN0028743, FBGN0003048, FBGN0027655, FBGN0025631, FBGN0029830, FBGN0028982, FBGN0259145, FBGN0035842, FBGN0030839, FBGN0039768, FBGN0032612, FBGN0037232, FBGN0035696, FBGN0016075, FBGN0031251, FBGN0266129, FBGN0039492, FBGN0003612, FBGN0016070, FBGN0030600, FBGN0029941, FBGN0263132, FBGN0023441, FBGN0052333, FBGN0036789, FBGN0034644, FBGN0259712, FBGN0262617, FBGN0038576, FBGN0022740, FBGN0262579, FBGN0085408, FBGN0264598, FBGN0262730, FBGN0052521, FBGN0004870, FBGN0020440, FBGN0036317, FBGN0259166, FBGN0041184, FBGN0053978, FBGN0086690, FBGN0030735, FBGN0036319, FBGN0262509, FBGN0033692, FBGN0010473, FBGN0036168, FBGN0029807, FBGN0261530, FBGN0024236, FBGN0020278, FBGN0035192, FBGN0037130, FBGN0003310, FBGN0259171, FBGN0034389, FBGN0034301, FBGN0259213, FBGN0029881, FBGN0035756, FBGN0035755, FBGN0010750, FBGN0032643, FBGN0053208, FBGN0032402, FBGN0032006, FBGN0259734, FBGN0014388, FBGN0262519, FBGN0259108, FBGN0033460, FBGN0263846, FBGN0002719, FBGN0087007, FBGN0032010, FBGN0086677, FBGN0285917, FBGN0261788, FBGN0038197, FBGN0000256, FBGN0001220, FBGN0052666, FBGN0024184, FBGN0023531, FBGN0083963, FBGN0034797, FBGN0037944, FBGN0010620, FBGN0032414, FBGN0261836, FBGN0038881, FBGN0038760, FBGN0016797, FBGN0016794, FBGN0045852, FBGN0067864, FBGN0031450, FBGN0265356, FBGN0040601, FBGN0265595, FBGN0030766, FBGN0033638, FBGN0003499, FBGN0003016, FBGN0034606, FBGN0052654, FBGN0000541, FBGN0027601, FBGN0283680, FBGN0265193, FBGN0034447, FBGN0030648, FBGN0031854, FBGN0035539, FBGN0035420, FBGN0032395, FBGN0033760, FBGN0035542, FBGN0026869, FBGN0031187, FBGN0023479, FBGN0031461, FBGN0000636, FBGN0041789, FBGN0000633, FBGN0051191, FBGN0267821, FBGN0022382, FBGN0027554, FBGN0030499, FBGN0004795, FBGN0051992, FBGN0031865, FBGN0040290, FBGN0037698, FBGN0035793, FBGN0040068, FBGN0036520, FBGN0034585, FBGN0034860, FBGN0002306, FBGN0051064, FBGN0039110, FBGN0263112, FBGN0004449, FBGN0260487, FBGN0051344, FBGN0264442, FBGN0263231, FBGN0003475, FBGN0264562, FBGN0050372, FBGN0267033, FBGN0024277, FBGN0052432, FBGN0038427, FBGN0032169, FBGN0001291	325	4374	11928	1.4516154901340086	6.134214995956455E-7	6.134217215476315E-7	6.102999825066766E-7
UP_SEQ_FEATURE	COMPBIAS:Basic and acidic residues	128	36.99421965317919	3.202482181537531E-8	FBGN0039883, FBGN0000617, FBGN0033661, FBGN0035168, FBGN0019990, FBGN0264339, FBGN0003048, FBGN0027655, FBGN0000299, FBGN0025631, FBGN0028982, FBGN0035842, FBGN0030839, FBGN0038168, FBGN0016075, FBGN0031251, FBGN0266129, FBGN0039492, FBGN0003612, FBGN0016070, FBGN0030600, FBGN0029941, FBGN0263132, FBGN0034644, FBGN0262617, FBGN0038576, FBGN0031143, FBGN0022740, FBGN0262579, FBGN0264598, FBGN0032879, FBGN0027111, FBGN0004870, FBGN0036317, FBGN0259166, FBGN0053978, FBGN0086690, FBGN0262509, FBGN0036168, FBGN0029807, FBGN0261530, FBGN0024236, FBGN0020278, FBGN0035192, FBGN0265298, FBGN0003310, FBGN0032925, FBGN0259171, FBGN0011204, FBGN0034301, FBGN0259213, FBGN0030508, FBGN0035756, FBGN0035755, FBGN0053208, FBGN0259734, FBGN0259216, FBGN0024191, FBGN0262519, FBGN0034392, FBGN0259108, FBGN0263846, FBGN0087007, FBGN0032010, FBGN0039204, FBGN0038235, FBGN0035245, FBGN0285917, FBGN0261788, FBGN0038197, FBGN0000256, FBGN0024184, FBGN0023531, FBGN0034797, FBGN0037944, FBGN0032136, FBGN0016726, FBGN0261836, FBGN0016794, FBGN0045852, FBGN0261794, FBGN0265356, FBGN0040601, FBGN0264302, FBGN0033638, FBGN0003016, FBGN0052654, FBGN0000541, FBGN0001233, FBGN0283680, FBGN0011829, FBGN0250788, FBGN0030648, FBGN0031854, FBGN0035542, FBGN0026869, FBGN0023479, FBGN0031461, FBGN0000636, FBGN0000633, FBGN0267821, FBGN0027554, FBGN0004795, FBGN0051992, FBGN0051118, FBGN0036915, FBGN0031865, FBGN0040290, FBGN0037698, FBGN0014075, FBGN0035793, FBGN0036520, FBGN0034585, FBGN0034860, FBGN0002306, FBGN0051064, FBGN0004449, FBGN0260487, FBGN0264442, FBGN0003475, FBGN0264562, FBGN0267033, FBGN0001296, FBGN0024277, FBGN0038427, FBGN0032169, FBGN0035799	325	3048	11928	1.5412719563900665	2.517119353362407E-5	1.2585754973442498E-5	1.2521705329811747E-5
UP_SEQ_FEATURE	REGION:Disordered	242	69.94219653179191	1.0385713423090871E-7	FBGN0039883, FBGN0036372, FBGN0036494, FBGN0260817, FBGN0038315, FBGN0000617, FBGN0033661, FBGN0035168, FBGN0036135, FBGN0000615, FBGN0028743, FBGN0027655, FBGN0000299, FBGN0266111, FBGN0030037, FBGN0029830, FBGN0028982, FBGN0259145, FBGN0035842, FBGN0030839, FBGN0039768, FBGN0034999, FBGN0037232, FBGN0016075, FBGN0031251, FBGN0266129, FBGN0016070, FBGN0030600, FBGN0029941, FBGN0034644, FBGN0259712, FBGN0043002, FBGN0038576, FBGN0031143, FBGN0284243, FBGN0022740, FBGN0262579, FBGN0085408, FBGN0052521, FBGN0004870, FBGN0020440, FBGN0027872, FBGN0259166, FBGN0041184, FBGN0053978, FBGN0030735, FBGN0033692, FBGN0036168, FBGN0029807, FBGN0024236, FBGN0035192, FBGN0037130, FBGN0265298, FBGN0003310, FBGN0032925, FBGN0259171, FBGN0034301, FBGN0030508, FBGN0035756, FBGN0010750, FBGN0035755, FBGN0032006, FBGN0259734, FBGN0262519, FBGN0259108, FBGN0033460, FBGN0039562, FBGN0263846, FBGN0032010, FBGN0086677, FBGN0039204, FBGN0038235, FBGN0026403, FBGN0261788, FBGN0000256, FBGN0001220, FBGN0052666, FBGN0083963, FBGN0034797, FBGN0037944, FBGN0010620, FBGN0032136, FBGN0016726, FBGN0030877, FBGN0038000, FBGN0039335, FBGN0261794, FBGN0027844, FBGN0265356, FBGN0265595, FBGN0030766, FBGN0052654, FBGN0027601, FBGN0001233, FBGN0283680, FBGN0011829, FBGN0034447, FBGN0250788, FBGN0030648, FBGN0031854, FBGN0035539, FBGN0021979, FBGN0035420, FBGN0032395, FBGN0033365, FBGN0035542, FBGN0023479, FBGN0026869, FBGN0031187, FBGN0000117, FBGN0001565, FBGN0041789, FBGN0022382, FBGN0051118, FBGN0031865, FBGN0037606, FBGN0014075, FBGN0035793, FBGN0034585, FBGN0036520, FBGN0261574, FBGN0002306, FBGN0039110, FBGN0260487, FBGN0029689, FBGN0051344, FBGN0052436, FBGN0050372, FBGN0052432, FBGN0032169, FBGN0035799, FBGN0032296, FBGN0036773, FBGN0019990, FBGN0264339, FBGN0003964, FBGN0003048, FBGN0025631, FBGN0029791, FBGN0051019, FBGN0032612, FBGN0038168, FBGN0035696, FBGN0003612, FBGN0039492, FBGN0263132, FBGN0032749, FBGN0023441, FBGN0052333, FBGN0036789, FBGN0031893, FBGN0262617, FBGN0264598, FBGN0262730, FBGN0032879, FBGN0001085, FBGN0052000, FBGN0027111, FBGN0036317, FBGN0086690, FBGN0036319, FBGN0262509, FBGN0010473, FBGN0037894, FBGN0261530, FBGN0020278, FBGN0028552, FBGN0011204, FBGN0034389, FBGN0259213, FBGN0029881, FBGN0032643, FBGN0053208, FBGN0032402, FBGN0024191, FBGN0259216, FBGN0014388, FBGN0066304, FBGN0034392, FBGN0087002, FBGN0002719, FBGN0087007, FBGN0036214, FBGN0035245, FBGN0285917, FBGN0038197, FBGN0024184, FBGN0023531, FBGN0032414, FBGN0261836, FBGN0037430, FBGN0038881, FBGN0038760, FBGN0016797, FBGN0039056, FBGN0016794, FBGN0045852, FBGN0067864, FBGN0031450, FBGN0040601, FBGN0264302, FBGN0003499, FBGN0033638, FBGN0003016, FBGN0034606, FBGN0000541, FBGN0039738, FBGN0035379, FBGN0265193, FBGN0033760, FBGN0039183, FBGN0031461, FBGN0000636, FBGN0000633, FBGN0051191, FBGN0267821, FBGN0028886, FBGN0027554, FBGN0030499, FBGN0004795, FBGN0051992, FBGN0032797, FBGN0036915, FBGN0040290, FBGN0037698, FBGN0040068, FBGN0034860, FBGN0051064, FBGN0263112, FBGN0004449, FBGN0264442, FBGN0263231, FBGN0003475, FBGN0264562, FBGN0267033, FBGN0001296, FBGN0024277, FBGN0038427, FBGN0001291, FBGN0034989	325	7240	11928	1.2267641308967274	8.162837996317229E-5	2.721056916849808E-5	2.707209298952354E-5
GOTERM_CC_DIRECT	GO:0005886~plasma membrane	67	19.36416184971098	1.3370558017566248E-6	FBGN0014388, FBGN0040279, FBGN0036494, FBGN0036773, FBGN0041243, FBGN0261788, FBGN0025837, FBGN0025595, FBGN0025631, FBGN0259145, FBGN0032136, FBGN0034999, FBGN0036816, FBGN0037430, FBGN0016797, FBGN0016794, FBGN0067864, FBGN0035696, FBGN0261794, FBGN0030766, FBGN0030600, FBGN0000024, FBGN0036829, FBGN0001233, FBGN0025740, FBGN0011829, FBGN0036789, FBGN0250788, FBGN0035420, FBGN0000117, FBGN0000636, FBGN0085408, FBGN0264598, FBGN0025936, FBGN0000116, FBGN0000039, FBGN0000633, FBGN0032879, FBGN0028886, FBGN0022382, FBGN0052521, FBGN0001085, FBGN0036834, FBGN0036317, FBGN0036319, FBGN0262509, FBGN0044823, FBGN0036764, FBGN0010473, FBGN0261574, FBGN0002306, FBGN0020278, FBGN0024236, FBGN0035192, FBGN0004449, FBGN0263598, FBGN0003310, FBGN0003475, FBGN0050372, FBGN0003353, FBGN0052432, FBGN0011204, FBGN0053208, FBGN0032006, FBGN0033932, FBGN0259734	307	1359	11275	1.8106458811206747	3.70296128140879E-4	3.703644570865851E-4	3.663532896813152E-4
GOTERM_CC_DIRECT	GO:0005856~cytoskeleton	14	4.046242774566474	2.1743278162083372E-5	FBGN0044823, FBGN0036372, FBGN0032010, FBGN0261788, FBGN0085408, FBGN0037130, FBGN0041789, FBGN0003149, FBGN0267431, FBGN0003475, FBGN0000046, FBGN0020440, FBGN0033610, FBGN0030877	307	120	11275	4.284744842562432	0.006004851905872743	0.003011444025448547	0.0029788291082054217
GOTERM_BP_DIRECT	GO:0008039~synaptic target recognition	8	2.312138728323699	2.8298551332881502E-5	FBGN0262509, FBGN0264442, FBGN0010473, FBGN0085414, FBGN0000636, FBGN0004449, FBGN0035539	292	35	11103	8.69119373776908	0.029139419649426124	0.029543687591528287	0.029543687591528287
UP_SEQ_FEATURE	COMPBIAS:Basic residues	35	10.115606936416185	6.978244882499009E-5	FBGN0262519, FBGN0259108, FBGN0035420, FBGN0035542, FBGN0038235, FBGN0023479, FBGN0261788, FBGN0085408, FBGN0000256, FBGN0000633, FBGN0051191, FBGN0262730, FBGN0052666, FBGN0030037, FBGN0029791, FBGN0041184, FBGN0051019, FBGN0016726, FBGN0261836, FBGN0039492, FBGN0265298, FBGN0033638, FBGN0003499, FBGN0265595, FBGN0264442, FBGN0003310, FBGN0263132, FBGN0264562, FBGN0267033, FBGN0030508, FBGN0259213, FBGN0010750, FBGN0053208, FBGN0030648, FBGN0035539	325	618	11928	2.0785660941000748	0.05337373821072178	0.013712251194110552	0.013642468745285562
INTERPRO	IPR011993:PH-like_dom_sf	15	4.335260115606936	1.4892764837847854E-4	FBGN0039056, FBGN0263846, FBGN0016794, FBGN0040068, FBGN0020278, FBGN0039110, FBGN0264598, FBGN0037130, FBGN0003016, FBGN0267431, FBGN0050372, FBGN0024277, FBGN0020440, FBGN0259166, FBGN0250788	332	156	11595	3.3581441149212234	0.13335871306306435	0.09479541368791572	0.09459812874787843
INTERPRO	IPR001849:PH_domain	10	2.8901734104046244	1.9728494003728558E-4	FBGN0003016, FBGN0050372, FBGN0039056, FBGN0263846, FBGN0016794, FBGN0024277, FBGN0040068, FBGN0259166, FBGN0250788, FBGN0037130	332	72	11595	4.8506526104417675	0.1727179015502811	0.09479541368791572	0.09459812874787843
GOTERM_BP_DIRECT	GO:0007411~axon guidance	15	4.335260115606936	2.0430457549169283E-4	FBGN0036494, FBGN0086677, FBGN0010473, FBGN0040068, FBGN0285917, FBGN0031461, FBGN0002306, FBGN0000636, FBGN0022382, FBGN0030600, FBGN0004795, FBGN0024277, FBGN0025740, FBGN0250788, FBGN0053208	292	175	11103	3.2591976516634054	0.19226407041405447	0.10664698840666366	0.10664698840666366
