Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_CC_DIRECT	GO:0005886~plasma membrane	147	8.561444379732091	3.5285670760304147E-7	100576881, 100578388, 411811, 409611, 410967, 413831, 100576480, 726097, 100576085, 551795, 552800, 412993, 411420, 412591, 100577334, 413680, 412471, 100576497, 726243, 724462, 411664, 413328, 102653703, 552082, 409565, 726401, 726886, 410739, 100576816, 550698, 551704, 551705, 413575, 113218602, 408908, 100576783, 408500, 102653897, 724890, 726393, 726273, 107964025, 551261, 408462, 551894, 552101, 551936, 102653640, 411846, 107963982, 552221, 726424, 411050, 724999, 411694, 100576714, 100577921, 410244, 102654452, 413471, 412382, 102654841, 100576681, 726695, 726970, 409934, 410368, 724433, 102653637, 552293, 725645, 411738, 724832, 410803, 107963991, 409530, 409650, 102656907, 409091, 100576968, 100578506, 411463, 408718, 411220, 551636, 412274, 413803, 411744, 725591, 100642169, 406097, 724304, 552285, 552038, 551069, 725901, 550659, 411595, 411110, 100577308, 100576458, 410380, 100577786, 724292, 409512, 102655356, 410306, 100577031, 413138, 551182, 409077, 725701, 552026, 100642170, 412172, 100577719, 726508, 100576749, 552149, 410671, 100577714, 411760, 100576742, 100576984, 100642171, 408819, 100642172, 406113, 406079, 413827, 408810, 727311, 409903, 408935, 412855, 724202, 551291, 412739, 406111, 411807, 413829, 102655180, 551688, 412740, 413279, 413553, 414002	1048	691	7247	1.4710799151578087	1.118493404493881E-4	1.1185557631016415E-4	1.1185557631016415E-4
GOTERM_BP_DIRECT	GO:0055085~transmembrane transport	55	3.20326150262085	1.334692048341315E-6	410448, 413959, 410920, 411412, 107965219, 107965338, 412941, 410566, 552293, 408681, 724874, 409650, 100576446, 411186, 414011, 100577385, 412678, 409924, 410179, 408272, 409565, 726762, 724546, 552239, 413575, 410067, 413816, 413934, 102655631, 410944, 726871, 414029, 725064, 551061, 725069, 725701, 724534, 724578, 551976, 726508, 552149, 551936, 412056, 413069, 725051, 102655983, 408935, 102654777, 102653922, 551053, 409183, 412540, 410683, 411095, 413551	976	190	6458	1.9153904227782572	0.001228496975848259	0.0012279166844740097	0.0012279166844740097
UP_SEQ_FEATURE	COMPBIAS:Polar residues	463	26.965637740244613	1.4530022979650262E-6	410448, 409337, 102654520, 413957, 410449, 412505, 409456, 409577, 412866, 410688, 412863, 410446, 408480, 409576, 552800, 100578706, 551830, 411663, 411420, 102654510, 408358, 409448, 102654871, 100577980, 411785, 409208, 408591, 409323, 408354, 409200, 551947, 551705, 410101, 100576896, 100576410, 413738, 409557, 410109, 409435, 412406, 410103, 412646, 411678, 102655712, 411435, 409554, 409795, 408462, 724925, 413742, 100576428, 411207, 408697, 409424, 411566, 102654975, 411204, 408574, 411694, 413873, 410121, 413753, 100576799, 100578736, 100577522, 725085, 412824, 726050, 726051, 411854, 410886, 726053, 410885, 409136, 411738, 727269, 409255, 409012, 551991, 409370, 551754, 100577537, 411981, 409127, 413803, 725192, 102655889, 411744, 726162, 409363, 408393, 409246, 412959, 408275, 551865, 412960, 412961, 411630, 100578879, 409359, 410546, 100576222, 410549, 413814, 100577551, 411753, 410542, 410545, 410423, 409470, 406086, 413817, 107964343, 550645, 552820, 410671, 411760, 551614, 100578406, 100578885, 409107, 100576110, 413827, 409227, 411646, 100576472, 413946, 410675, 727150, 412855, 413821, 412853, 412739, 408374, 409221, 550991, 550870, 551602, 412740, 100577325, 100576116, 100577696, 100578543, 100578420, 552092, 408649, 411816, 411939, 726928, 724508, 100578429, 408519, 100576253, 100578433, 408752, 409606, 107963964, 411827, 410979, 411829, 724622, 410739, 724736, 724978, 552079, 724977, 725706, 724739, 100578556, 409952, 100577110, 410505, 410867, 100578563, 100576383, 552195, 725503, 725860, 724412, 410992, 100577239, 100577598, 100578446, 100577365, 410637, 100578332, 100576271, 411961, 411721, 410511, 107963982, 725732, 724888, 724765, 411729, 724518, 724517, 410761, 411850, 410882, 100578698, 100577004, 409776, 410809, 408322, 409531, 107963991, 408561, 724830, 724704, 413081, 724706, 550822, 100576169, 100578597, 100578112, 408319, 410818, 408791, 102654959, 727092, 408309, 409753, 410944, 409638, 100578484, 100577150, 725701, 409994, 724976, 411917, 724611, 406121, 408540, 409865, 410953, 100577168, 100578015, 408411, 408775, 100577045, 408533, 410951, 100577280, 408894, 725923, 100578382, 551162, 552488, 412079, 102656021, 414017, 100577188, 725436, 725799, 726401, 726643, 552355, 551029, 100859932, 408908, 102656249, 726431, 100577196, 414029, 726438, 727649, 551261, 726676, 724137, 410904, 413183, 413063, 412092, 551254, 552101, 551497, 726308, 414032, 410910, 100578059, 726541, 725331, 724120, 552100, 552221, 725577, 726666, 552336, 413076, 100578068, 409936, 408723, 552052, 726855, 552171, 724310, 725761, 552297, 724799, 552049, 726726, 726727, 408718, 413125, 409928, 413126, 409806, 411068, 412398, 100579049, 413248, 551073, 726723, 551069, 411070, 412161, 412281, 412046, 413377, 412284, 413254, 724450, 408944, 552030, 551061, 725788, 552031, 724456, 100576908, 552026, 413382, 100576901, 412059, 412055, 413141, 408810, 409903, 409902, 408811, 551168, 413030, 552255, 552497, 552019, 413399, 413152, 413032, 726254, 413558, 726370, 409053, 552764, 552400, 551433, 107965692, 552647, 410178, 412475, 102656661, 410174, 413680, 412471, 413328, 413568, 410060, 409282, 551668, 411276, 413334, 410067, 413699, 412129, 413457, 726273, 412128, 107965237, 107964025, 107964022, 107964024, 552624, 412256, 551659, 102655670, 412132, 409028, 726024, 409385, 725179, 551770, 411050, 412260, 551881, 552614, 552613, 413357, 412268, 551889, 102655661, 410083, 412143, 410085, 724150, 410129, 413638, 413998, 413754, 725126, 725246, 551483, 724159, 726215, 107964284, 551118, 411463, 552209, 102654165, 100576963, 102655131, 411104, 413768, 410256, 411345, 410498, 410379, 724389, 725238, 411595, 413772, 411113, 411476, 100576976, 724292, 102655356, 411238, 725020, 107964189, 409193, 410274, 100576989, 413783, 413784, 551219, 412453, 100576620, 725495, 726101, 725254, 410399, 726228, 727312, 552782, 725498, 725259, 551685, 552535, 551566, 551688, 411496, 100576878, 551328, 411250, 413793	1260	2553	8241	1.1861498144106841	0.0010499698201469343	0.001050520661428714	0.001050520661428714
KEGG_PATHWAY	ame01100:Metabolic pathways	178	10.36691904484566	4.708861098787833E-6	411657, 727189, 102654366, 411813, 100577053, 412467, 411897, 409693, 409299, 552493, 552130, 412193, 551712, 551039, 551837, 550869, 724909, 100576646, 552809, 411021, 413043, 107963968, 727333, 411307, 412876, 725274, 409329, 725031, 727456, 551154, 724226, 551785, 113219091, 552476, 551420, 552118, 552639, 552758, 412362, 551709, 100576773, 409712, 411715, 726156, 100576383, 413336, 408867, 113218590, 443552, 409276, 724925, 550686, 409709, 411045, 551419, 408859, 552109, 410470, 411724, 412815, 102653763, 413867, 409549, 409263, 725458, 725178, 410639, 410638, 551770, 409267, 725455, 408291, 552699, 413356, 100576799, 552736, 551927, 408567, 409930, 727146, 724550, 412304, 411852, 411576, 409253, 409250, 552210, 409136, 409499, 408286, 724951, 552328, 726726, 409490, 100576847, 412796, 411183, 100577145, 411349, 408950, 413768, 102655648, 410379, 726042, 409922, 411105, 552283, 724389, 726205, 408791, 725877, 406131, 552286, 724942, 409485, 551465, 551069, 411070, 551103, 552795, 100328599, 552398, 724933, 552712, 552832, 552678, 551869, 412166, 408827, 413891, 413372, 102655754, 727166, 411759, 727168, 409236, 410422, 412843, 409638, 408426, 551182, 726117, 409473, 409114, 552671, 411917, 724336, 413817, 552148, 552024, 410550, 113218957, 550767, 113218558, 550804, 413705, 409624, 408930, 410557, 413549, 727153, 725258, 100577280, 724321, 725899, 725135, 412619, 551961, 413030, 725527, 552657, 552535, 552139, 724718, 100577607, 551968, 551966, 100577841	432	919	2905	1.3024674565751824	6.11966056464297E-4	4.6170097789191566E-4	4.5104633994056374E-4
KEGG_PATHWAY	ame01200:Carbon metabolism	32	1.8637157833430402	7.103091967567933E-6	102655754, 411813, 100577053, 411576, 413336, 409253, 726117, 408286, 443552, 412193, 551039, 410550, 412796, 550767, 100576646, 550804, 409624, 408950, 412876, 413768, 413867, 409549, 727153, 724321, 551154, 725455, 409485, 551785, 551103, 552712, 552678, 552736	432	95	2905	2.265107212475633	9.2297902789229E-4	4.6170097789191566E-4	4.5104633994056374E-4
UP_SEQ_FEATURE	DOMAIN:Major facilitator superfamily (MFS) profile	29	1.68899242865463	8.861848296572576E-5	410448, 410920, 102655631, 726871, 107965219, 411412, 107965338, 410566, 725064, 412941, 552293, 724578, 724874, 551936, 412056, 411186, 409424, 100577385, 409924, 410179, 102654777, 102653922, 726762, 551053, 726814, 409183, 412540, 413575, 410067	1260	89	8241	2.1311663991439276	0.06206441242508687	0.03203558159210986	0.03203558159210986
INTERPRO	IPR020846:MFS_dom	29	1.68899242865463	1.0240330578680262E-4	410448, 410920, 102655631, 726871, 107965219, 411412, 107965338, 410566, 725064, 412941, 552293, 724578, 724874, 551936, 412056, 411186, 409424, 100577385, 409924, 410179, 102654777, 102653922, 726762, 551053, 726814, 409183, 412540, 413575, 410067	1326	91	8818	2.119254802512721	0.2363469457817552	0.133545440018271	0.133545440018271
INTERPRO	IPR005828:MFS_sugar_transport-like	19	1.10658124635993	1.4982515876859028E-4	410448, 409424, 100577385, 102655631, 726871, 409924, 107965338, 102654777, 412941, 102653922, 726762, 724874, 551053, 726814, 551936, 412056, 412540, 413575, 411186	1326	49	8818	2.5786006710376457	0.32599597631361177	0.133545440018271	0.133545440018271
INTERPRO	IPR036259:MFS_trans_sf	36	2.09668025626092	1.521596354177034E-4	410448, 410920, 102655631, 726871, 107965219, 411412, 107965338, 410566, 725064, 412941, 552293, 725069, 725701, 724578, 724874, 409650, 551936, 412056, 411186, 409424, 100577385, 100577682, 725192, 409924, 410179, 102654777, 102653922, 408272, 726762, 551053, 726814, 409183, 552239, 412540, 413575, 410067	1326	126	8818	1.9000215470803707	0.3301267767192705	0.133545440018271	0.133545440018271
GOTERM_MF_DIRECT	GO:0022857~transmembrane transporter activity	36	2.09668025626092	2.965939568648755E-4	410448, 410920, 102655631, 726871, 107965219, 411412, 107965338, 410566, 412941, 552293, 408681, 725069, 725701, 724578, 724874, 552800, 412056, 411186, 409424, 100577385, 409924, 410179, 408935, 102654777, 102653922, 408272, 409565, 726762, 724546, 551053, 726814, 409183, 552239, 412540, 410067, 410683	1090	125	6938	1.833159633027523	0.19207228470170645	0.2132510549858455	0.2132510549858455
KEGG_PATHWAY	ame00010:Glycolysis / Gluconeogenesis	18	1.04834012813046	3.924802680089574E-4	409624, 102655754, 412843, 411576, 413336, 727153, 411897, 726117, 727456, 551154, 725455, 551103, 552678, 551039, 552736, 100576646, 412362, 551927	432	49	2905	2.470238095238095	0.04975216561581397	0.017007478280388153	0.016614998012379197
GOTERM_BP_DIRECT	GO:0006094~gluconeogenesis	6	0.34944670937682004	4.081053021415146E-4	412876, 412843, 411576, 727153, 726117, 551154	976	6	6458	6.616803278688525	0.313357637143829	0.1877284389850967	0.1877284389850967
