geneID,gene.width,intron_width,recombination,POE
LOC100049551,1729,1154,1.53,FALSE
LOC100049563,7101,28,NA,FALSE
LOC100126690,1394,641,15.74,FALSE
LOC100174948,2849,144,27.18,FALSE
LOC100187599,5598,4527,23.33,FALSE
LOC100187709,590,NA,40.2,FALSE
LOC100188904,2696,2113,33.16,FALSE
LOC100188940,3425,1301,32.47,TRUE
LOC100188973,1937,321,3.83,FALSE
LOC100191002,680,361,44.28,FALSE
LOC100192200,929,NA,10.67,FALSE
LOC100192201,1007,NA,10.7,FALSE
LOC100192202,1028,NA,10.74,FALSE
LOC100216325,2232,NA,37.68,FALSE
LOC100216489,1696,1075,28.65,FALSE
LOC100217360,1385,NA,3.92,FALSE
LOC100302106,1205,271,2.38,FALSE
LOC100302584,2988,842,9.15,FALSE
LOC100315656,99,NA,NA,FALSE
LOC100315657,99,NA,NA,FALSE
LOC100315658,99,NA,NA,FALSE
LOC100315659,99,NA,NA,FALSE
LOC100315660,99,NA,NA,FALSE
LOC100315661,99,NA,NA,FALSE
LOC100315663,99,NA,NA,FALSE
LOC100315664,99,NA,NA,FALSE
LOC100315665,99,NA,NA,FALSE
LOC100315666,99,NA,NA,FALSE
LOC100315667,99,NA,NA,FALSE
LOC100315668,99,NA,NA,FALSE
LOC100315669,99,NA,NA,FALSE
LOC100315670,99,NA,NA,FALSE
LOC100315672,99,NA,NA,FALSE
LOC100315673,99,NA,NA,FALSE
LOC100315674,99,NA,NA,FALSE
LOC100315675,99,NA,NA,FALSE
LOC100315676,99,NA,NA,FALSE
LOC100315677,99,NA,NA,FALSE
LOC100315678,90,NA,NA,FALSE
LOC100315679,90,NA,NA,FALSE
LOC100315681,84,NA,NA,FALSE
LOC100315682,90,NA,NA,FALSE
LOC100315683,61,NA,NA,FALSE
LOC100315684,85,NA,NA,FALSE
LOC100315685,88,NA,NA,FALSE
LOC100315686,99,NA,NA,FALSE
LOC100315687,99,NA,NA,FALSE
LOC100315689,99,NA,NA,FALSE
LOC100315690,78,NA,NA,FALSE
LOC100315692,93,NA,NA,FALSE
